,Name,Code
859,市北高新,600604
860,汇通能源,600605
861,绿地控股,600606
862,上实医药,600607
863,ST沪科,600608
864,金杯汽车,600609
865,*ST毅达,600610
866,大众交通,600611
867,老凤祥,600612
868,神奇制药,600613
869,鹏起科技,600614
870,丰华股份,600615
871,金枫酒业,600616
872,国新能源,600617
873,氯碱化工,600618
874,海立股份,600619
875,天宸股份,600620
876,华鑫股份,600621
877,光大嘉宝,600622
878,华谊集团,600623
879,复旦复华,600624
880,PT水仙,600625
881,申达股份,600626
882,上电股份,600627
883,新世界,600628
884,华建集团,600629
885,龙头股份,600630
886,百联股份,600631
887,华联商厦,600632
888,浙数文化,600633
889,*ST富控,600634
890,大众公用,600635
891,三爱富,600636
892,东方明珠,600637
893,新黄浦,600638
894,浦东金桥,600639
895,号百控股,600640
896,万业企业,600641
897,申能股份,600642
898,爱建集团,600643
899,乐山电力,600644
900,中源协和,600645
901,ST国嘉,600646
902,同达创业,600647
903,外高桥,600648
904,城投控股,600649
905,锦江投资,600650
906,飞乐音响,600651
907,游久游戏,600652
908,申华控股,600653
909,ST中安,600654
910,豫园股份,600655
911,退市博元,600656
912,信达地产,600657
913,电子城,600658
914,*ST花雕,600659
915,福耀玻璃,600660
916,昂立教育,600661
917,强生控股,600662
918,陆家嘴,600663
919,哈药股份,600664
920,天地源,600665
921,奥瑞德,600666
922,太极实业,600667
923,尖峰集团,600668
924,*ST鞍成,600669
925,*ST斯达,600670
926,天目药业,600671
927,*ST华圣,600672
928,东阳光科,600673
929,川投能源,600674
930,中华企业,600675
931,交运股份,600676
932,航天通信,600677
933,四川金顶,600678
934,上海凤凰,600679
935,*ST上普,600680
936,百川能源,600681
937,南京新百,600682
938,京投发展,600683
939,珠江实业,600684
940,中船防务,600685
941,金龙汽车,600686
942,刚泰控股,600687
943,上海石化,600688
944,上海三毛,600689
945,青岛海尔,600690
946,阳煤化工,600691
947,亚通股份,600692
948,东百集团,600693
949,大商股份,600694
950,绿庭投资,600695
951,ST岩石,600696
952,欧亚集团,600697
953,湖南天雁,600698
954,均胜电子,600699
955,*ST数码,600700
956,*ST工新,600701
957,舍得酒业,600702
958,三安光电,600703
959,物产中大,600704
960,中航投资,600705
961,曲江文旅,600706
962,彩虹股份,600707
963,光明地产,600708
964,ST生态,600709
965,苏美达,600710
966,盛屯矿业,600711
967,南宁百货,600712
968,南京医药,600713
969,金瑞矿业,600714
970,文投控股,600715
971,凤凰股份,600716
972,天津港,600717
973,东软集团,600718
974,大连热电,600719
975,祁连山,600720
976,百花村,600721
977,金牛化工,600722
978,首商股份,600723
